UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
318150,6204715,2018-11-03T16:05:00.000+07:00,480984,CALENDAR PAPER CUT DESIGN,18,4.08,United Kingdom
307566,6225637,2018-11-20T12:27:00.000+07:00,467124,3 HOOK HANGER MAGIC GARDEN,36,2.7,Netherlands
306432,6283651,2018-12-26T15:58:00.000+07:00,463365,CHRISTMAS PUDDING TRINKET POT,6,0.54,United Kingdom
344862,6029881,2018-06-10T14:58:00.000+07:00,998886,TEA TIME PARTY BUNTING,60,6.84,United Kingdom
328062,5999587,2018-05-14T14:42:00.000+07:00,1788192,HAND OVER THE CHOCOLATE   SIGN,36,2.9,United Kingdom
343203,6361575,2019-02-04T18:43:00.000+07:00,491904,GINGHAM RECIPE BOOK BOX,3,6.84,United Kingdom
371826,5915118,2018-02-19T12:02:00.000+07:00,457611,VINTAGE HEADS AND TAILS CARD GAME,36,1.73,United Kingdom
328272,6361850,2019-02-05T10:51:00.000+07:00,449988,SET3 BOOK BOX GREEN GINGHAM FLOWER,12,5.87,United Kingdom
349188,6055698,2018-07-01T09:55:00.000+07:00,474957,BAKING SET SPACEBOY DESIGN,9,6.84,United Kingdom
298557,6370353,2019-02-09T13:08:00.000+07:00,1732374,WOODEN FRAME ANTIQUE WHITE,18,4.08,United Kingdom
299691,6065345,2018-07-10T13:47:00.000+07:00,437766,ZINC HEART LATTICE T-LIGHT HOLDER,36,1.73,United Kingdom
345198,6304639,2019-01-08T20:56:00.000+07:00,1788633,SET/6 FROG PRINCE T-LIGHT CANDLES,3,3.52,United Kingdom
296016,6339729,2019-01-26T16:27:00.000+07:00,475671,GENTLEMAN SHIRT REPAIR KIT,6,2.25,United Kingdom
268464,6363368,2019-02-05T13:53:00.000+07:00,444234,RED RETROSPOT OVEN GLOVE,3,1.73,Portugal
373716,6307400,2019-01-11T16:38:00.000+07:00,472416,SET OF 2 ROUND TINS DUTCH CHEESE,18,4.08,United Kingdom
308007,6041618,2018-06-19T12:30:00.000+07:00,447531,SET/4 BIRD MIRROR MAGNETS,18,2.9,United Kingdom
267708,5920255,2018-02-21T12:24:00.000+07:00,481761,CHRISTMAS LIGHTS 10 REINDEER,3,11.73,United Kingdom
374661,6308456,2019-01-12T12:59:00.000+07:00,460635,SUKI  SHOULDER BAG,3,2.28,United Kingdom
303576,6306971,2019-01-11T13:53:00.000+07:00,470799,LIPSTICK PEN RED,3,0.58,United Kingdom
277368,6152520,2018-09-18T15:18:00.000+07:00,736995,RED VICTORIAN FABRIC OVAL BOX,18,0.58,United Kingdom
267708,6359683,2019-02-04T12:22:00.000+07:00,340956,KITTY PENCIL ERASERS,3,0.29,United Kingdom
303072,6336858,2019-01-25T17:22:00.000+07:00,357252,ORIGAMI LAVENDER INCENSE/CANDL SET,36,1.18,United Kingdom
275310,6173266,2018-10-06T17:18:00.000+07:00,452004,DOORMAT SPOTTY HOME SWEET HOME,3,10.98,United Kingdom
304563,6352192,2019-02-01T12:28:00.000+07:00,490077,EGG FRYING PAN MINT,18,2.88,United Kingdom
321531,6342204,2019-01-27T14:32:00.000+07:00,316176,EDWARDIAN PARASOL PINK,3,8.22,United Kingdom
332367,6254116,2018-12-09T16:35:00.000+07:00,477162,SET OF 6 SPICE TINS PANTRY DESIGN,12,5.46,United Kingdom
313131,6015471,2018-05-29T16:03:00.000+07:00,445662,SET/4 BADGES BEETLES,30,1.73,EIRE
272223,6236681,2018-11-28T10:03:00.000+07:00,473970,FELTCRAFT CUSHION RABBIT,12,5.18,United Kingdom
342363,6197444,2018-10-28T12:04:00.000+07:00,470022,LUNCH BAG SPACEBOY DESIGN,60,2.28,United Kingdom
268086,6049483,2018-06-25T14:15:00.000+07:00,463239,CERAMIC STRAWBERRY DESIGN MUG,36,2.06,Portugal
270690,6342886,2019-01-27T18:26:00.000+07:00,473655,PLASTERS IN TIN STRONGMAN,6,2.28,United Kingdom
378903,6341940,2019-01-27T13:48:00.000+07:00,477708,POPPY'S PLAYHOUSE KITCHEN,6,2.9,United Kingdom
297339,6352544,2019-02-01T13:36:00.000+07:00,473718,CLOTHES PEGS RETROSPOT PACK 24,3,2.28,United Kingdom
302841,6281484,2018-12-25T14:24:00.000+07:00,489258,SPOTTY BUNTING,45,6.84,United Kingdom
380562,6347638,2019-01-29T15:29:00.000+07:00,490161,PINK DINER WALL CLOCK,3,11.73,United Kingdom
322476,6152377,2018-09-18T14:02:00.000+07:00,1734600,NO SINGING METAL SIGN,15,2.9,United Kingdom
284655,6253610,2018-12-09T13:26:00.000+07:00,489972,IVORY WICKER HEART LARGE,60,2.28,United Kingdom
339276,6380506,2019-02-12T13:42:00.000+07:00,486318,SET OF 5 LUCKY CAT MAGNETS,36,2.88,United Kingdom
305235,6275038,2018-12-22T16:39:00.000+07:00,491841,PANTRY HOOK SPATULA,9,2.88,United Kingdom
383943,6095727,2018-08-04T12:33:00.000+07:00,1787079,JUMBO BAG STRAWBERRY,3,2.88,United Kingdom
327054,5904756,2018-02-13T16:46:00.000+07:00,453411,COSY HOUR CIGAR BOX MATCHES,9,1.73,United Kingdom
287028,6373543,2019-02-10T13:50:00.000+07:00,1732164,WOOD BLACK BOARD ANT WHITE FINISH,12,10.98,United Kingdom
312270,6021708,2018-06-04T11:51:00.000+07:00,459228,POTTING SHED TEA MUG,36,1.73,United Kingdom
351309,6076906,2018-07-21T14:28:00.000+07:00,748608,VINTAGE BEAD PINK PURSE,12,1.15,United Kingdom
326172,6139056,2018-09-07T14:24:00.000+07:00,443352,SWISS ROLL TOWEL PINK  SPOTS,6,4.08,United Kingdom
355278,5964926,2018-04-09T18:37:00.000+07:00,470820,LIPSTICK PEN BABY PINK,6,0.58,United Kingdom
318339,6387359,2019-02-16T15:25:00.000+07:00,434154,GREEN POLKADOT BOWL,24,1.73,United Kingdom
380478,5956335,2018-04-01T14:05:00.000+07:00,473718,CLOTHES PEGS RETROSPOT PACK 24,3,2.06,United Kingdom
315819,6100908,2018-08-06T12:26:00.000+07:00,460488,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,30,2.88,United Kingdom
375543,6367064,2019-02-06T15:02:00.000+07:00,1784748,SET OF 72 PINK HEART PAPER DOILIES,3,2.01,United Kingdom
288582,6359606,2019-02-04T12:07:00.000+07:00,460194,BLUE HARMONICA IN BOX,6,1.73,United Kingdom
313131,6032939,2018-06-12T12:08:00.000+07:00,463512,RED RETROSPOT TEA CUP AND SAUCER,12,5.18,EIRE
358239,6331622,2019-01-22T13:27:00.000+07:00,460488,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,3,2.88,United Kingdom
264474,6106177,2018-08-12T15:14:00.000+07:00,460530,JUMBO STORAGE BAG SKULLS,30,2.88,Italy
364644,6363841,2019-02-05T15:40:00.000+07:00,1765071,ASS COLOUR GLOWING TIARAS,12,1.18,United Kingdom
291249,6189568,2018-10-20T14:53:00.000+07:00,465549,FAMILY ALBUM WHITE PICTURE FRAME,6,11.73,United Kingdom
297192,6249859,2018-12-07T13:54:00.000+07:00,315924,PINK PAPER PARASOL,18,4.08,United Kingdom
355740,6288381,2018-12-30T14:15:00.000+07:00,455112,WHITE SPOT RED CERAMIC DRAWER KNOB,36,2.01,United Kingdom
300279,5943795,2018-03-20T14:19:00.000+07:00,481530,BAKING MOULD HEART MILK CHOCOLATE,18,3.52,United Kingdom
371805,6075157,2018-07-20T14:19:00.000+07:00,477267,ALARM CLOCK BAKELIKE RED,12,5.18,United Kingdom
361473,6306938,2019-01-11T13:46:00.000+07:00,492576,MEDIUM PARLOUR PICTURE FRAME,12,5.73,United Kingdom
283647,6207905,2018-11-05T16:12:00.000+07:00,1786029,ROMANTIC PINKS RIBBONS,36,1.73,United Kingdom
299250,6228981,2018-11-23T14:44:00.000+07:00,460047,I'M ON HOLIDAY METAL SIGN,36,2.9,United Kingdom
354984,6065796,2018-07-10T16:13:00.000+07:00,476091,FRENCH LAUNDRY SIGN BLUE METAL,3,2.28,United Kingdom
269640,6076983,2018-07-21T15:10:00.000+07:00,460572,SCANDINAVIAN PAISLEY PICNIC BAG,60,2.28,United Kingdom
325773,6010037,2018-05-23T12:38:00.000+07:00,460362,UNION STRIPE WITH FRINGE  HAMMOCK,36,9.6,United Kingdom
361473,6307290,2019-01-11T15:53:00.000+07:00,492576,MEDIUM PARLOUR PICTURE FRAME,12,5.73,United Kingdom
344715,6301680,2019-01-07T14:35:00.000+07:00,486864,BULL DOG BOTTLE OPENER,3,6.84,United Kingdom
315441,6022478,2018-06-04T13:24:00.000+07:00,357294,ORIGAMI VANILLA INCENSE CONES,3,2.28,United Kingdom
358722,5963342,2018-04-08T15:36:00.000+07:00,1772526,CREAM CUPID HEARTS COAT HANGER,24,4.49,United Kingdom
308448,5977400,2018-04-22T12:27:00.000+07:00,435204,RED RETROSPOT CHARLOTTE BAG,30,1.18,United Kingdom
293664,5956390,2018-04-01T14:40:00.000+07:00,478968,SET OF 6 T-LIGHTS EASTER CHICKS,12,4.08,United Kingdom
366009,6114372,2018-08-19T14:38:00.000+07:00,462735,VINTAGE CARAVAN GREETING CARD,36,0.58,United Kingdom
317226,6266447,2018-12-17T15:14:00.000+07:00,487683,CHRISTMAS TREE HANGING SILVER,36,1.15,United Kingdom
302778,6389141,2019-02-17T12:39:00.000+07:00,451626,"FANCY FONT BIRTHDAY CARD,",36,0.58,United Kingdom
326529,6249452,2018-12-05T17:22:00.000+07:00,486549,CLASSIC GLASS COOKIE JAR,6,5.73,United Kingdom
264537,6306982,2019-01-11T14:06:00.000+07:00,493941,WALL ART CAT AND BIRD,36,3.99,Spain
277389,6328641,2019-01-21T14:52:00.000+07:00,434973,JUMBO BAG OWLS,30,2.88,United Kingdom
318339,6150342,2018-09-17T13:22:00.000+07:00,997584,ENGLISH ROSE GARDEN SECATEURS,36,1.1,United Kingdom
359247,6085002,2018-07-27T13:21:00.000+07:00,1734201,TOILET METAL SIGN,12,0.76,United Kingdom
