UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
284655,6094770,2018-08-03T12:06:00.000+07:00,486507,SMALL CERAMIC TOP STORAGE JAR,48,1.15,United Kingdom
315000,6295113,2019-01-04T12:42:00.000+07:00,1786029,CHOCOLATE BOX RIBBONS,6,1.73,United Kingdom
301560,6222986,2018-11-18T12:58:00.000+07:00,487368,LUNCH BAG VINTAGE LEAF DESIGN,30,2.28,United Kingdom
339045,6188556,2018-10-20T10:22:00.000+07:00,487389,LUNCH BAG DOILEY PATTERN,30,2.28,United Kingdom
278439,6272310,2018-12-21T11:48:00.000+07:00,488733,HEART T-LIGHT HOLDER WILLIE WINKIE,3,2.28,United Kingdom
306411,6363709,2019-02-05T14:56:00.000+07:00,435225,LUNCH BAG RED RETROSPOT,6,2.28,United Kingdom
349797,6159824,2018-09-25T12:45:00.000+07:00,466662,CAKE PLATE LOVEBIRD WHITE,3,6.84,United Kingdom
354018,5909596,2018-02-17T10:52:00.000+07:00,1786008,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,10.98,United Kingdom
266994,6121819,2018-08-25T12:41:00.000+07:00,441819,RED RETROSPOT SHOPPING BAG,18,3.52,France
280014,5976300,2018-04-21T12:42:00.000+07:00,1784748,SET OF 72 PINK HEART PAPER DOILIES,18,2.01,United Kingdom
295302,6051749,2018-06-26T16:46:00.000+07:00,477309,ALARM CLOCK BAKELIKE ORANGE,48,5.18,United Kingdom
306537,6370595,2019-02-09T14:13:00.000+07:00,482832,REVOLVER WOODEN RULER,3,2.7,United Kingdom
296016,6285851,2018-12-29T14:31:00.000+07:00,461517,PACK OF 60 PINK PAISLEY CAKE CASES,6,1.73,United Kingdom
269619,6226385,2018-11-20T14:17:00.000+07:00,466452,FOUR HOOK  WHITE LOVEBIRDS,18,2.9,United Kingdom
313131,6071450,2018-07-17T12:38:00.000+07:00,457590,VINTAGE SNAP CARDS,36,1.18,EIRE
273021,6051419,2018-06-26T14:17:00.000+07:00,999390,BLUE HAPPY BIRTHDAY BUNTING,9,7.53,United Kingdom
355782,6174520,2018-10-07T13:57:00.000+07:00,489258,SPOTTY BUNTING,9,6.84,United Kingdom
310065,6128408,2018-08-28T20:49:00.000+07:00,470988,ENAMEL FIRE BUCKET CREAM,6,9.6,United Kingdom
261954,6358473,2019-02-03T15:39:00.000+07:00,494991,TRADITIONAL NAUGHTS & CROSSES,36,2.28,Germany
261177,6316772,2019-01-15T14:24:00.000+07:00,-1,Manual,3,0.0,France
301707,6116550,2018-08-20T14:04:00.000+07:00,484827,ZINC  HEART T-LIGHT HOLDER,48,1.73,United Kingdom
278523,6024216,2018-06-05T13:53:00.000+07:00,1733571,LAUNDRY 15C METAL SIGN,3,2.01,United Kingdom
350910,6352687,2019-02-01T14:16:00.000+07:00,487578,LAUREL STAR ANTIQUE GOLD,9,1.73,United Kingdom
315693,6286225,2018-12-29T15:42:00.000+07:00,494214,WALL ART STOP FOR TEA,3,8.22,United Kingdom
267267,6000665,2018-05-15T13:06:00.000+07:00,481047,PACK OF 20 NAPKINS PANTRY DESIGN,36,1.18,France
277872,6121137,2018-08-24T12:17:00.000+07:00,466074,BLACK DINER WALL CLOCK,3,11.73,United Kingdom
299922,6353072,2019-02-01T16:27:00.000+07:00,435204,RED RETROSPOT CHARLOTTE BAG,30,1.18,United Kingdom
339150,5905251,2018-02-13T19:27:00.000+07:00,450030,SET/3 RED GINGHAM ROSE STORAGE BOX,12,5.18,United Kingdom
374661,6149748,2018-09-17T11:41:00.000+07:00,459816,POTTING SHED TWINE,3,2.9,United Kingdom
355236,6343546,2019-01-28T13:08:00.000+07:00,482391,QUEENS GUARD COFFEE MUG,18,3.52,United Kingdom
381381,6268086,2018-12-18T13:25:00.000+07:00,493731,EMBROIDERED RIBBON REEL EMILY,18,2.88,United Kingdom
264873,6101689,2018-08-07T10:17:00.000+07:00,468846,ROUND SNACK BOXES SET OF4 WOODLAND,36,4.08,Germany
371217,6393475,2019-02-19T10:55:00.000+07:00,489153,SET OF 12 FAIRY CAKE BAKING CASES,24,1.15,United Kingdom
273714,6284003,2018-12-28T13:21:00.000+07:00,1771938,SET OF 3 HEART COOKIE CUTTERS,36,2.01,United Kingdom
307629,6255810,2018-12-10T16:42:00.000+07:00,443835,VICTORIAN  METAL POSTCARD SPRING,6,2.34,United Kingdom
354858,6126076,2018-08-27T14:35:00.000+07:00,473655,PLASTERS IN TIN STRONGMAN,3,2.28,United Kingdom
310149,6017693,2018-06-01T14:33:00.000+07:00,486759,CLOCK MAGNET MUM'S KITCHEN,18,3.99,United Kingdom
267897,6083187,2018-07-24T20:01:00.000+07:00,461496,PACK OF 60 MUSHROOM CAKE CASES,6,0.76,Portugal
358239,6203208,2018-11-02T16:17:00.000+07:00,487347,LUNCH BAG ALPHABET DESIGN,3,2.28,United Kingdom
350070,5999510,2018-05-14T13:18:00.000+07:00,459417,HOME SWEET HOME MUG,36,1.73,United Kingdom
337113,6323130,2019-01-19T12:21:00.000+07:00,494403,WALL ART KEEP CALM,9,11.39,United Kingdom
304605,6204671,2018-11-03T15:38:00.000+07:00,459144,UNION JACK FLAG PASSPORT COVER,3,2.9,United Kingdom
312795,5991227,2018-05-06T14:08:00.000+07:00,466179,FRYING PAN RED RETROSPOT,12,5.87,United Kingdom
372897,6355778,2019-02-02T17:54:00.000+07:00,451374,ROTATING LEAVES T-LIGHT HOLDER,18,1.73,United Kingdom
380478,6294112,2019-01-02T12:30:00.000+07:00,452718,SKULL LUNCH BOX WITH CUTLERY,9,3.52,United Kingdom
297276,5984814,2018-04-29T15:49:00.000+07:00,1764630,ENGLISH ROSE HOT WATER BOTTLE,6,5.87,EIRE
277389,6328641,2019-01-21T14:52:00.000+07:00,487326,LUNCH BAG APPLE DESIGN,30,2.28,United Kingdom
267708,6360926,2019-02-04T14:34:00.000+07:00,476007,RECIPE BOX RETROSPOT,3,4.08,United Kingdom
359247,6250123,2018-12-07T15:37:00.000+07:00,488061,TREASURE TIN GYMKHANA DESIGN,6,2.88,United Kingdom
283647,6162629,2018-09-28T12:50:00.000+07:00,479745,VINTAGE CREAM CAT FOOD CONTAINER,6,8.77,United Kingdom
263760,6166490,2018-09-30T16:55:00.000+07:00,487935,STORAGE TIN VINTAGE LEAF,18,3.99,Germany
369495,6314869,2019-01-14T17:19:00.000+07:00,436044,ABSTRACT CIRCLES SKETCHBOOK,3,5.18,United Kingdom
362817,6062375,2018-07-08T13:47:00.000+07:00,1893318,ST TROPEZ NECKLACE,6,6.84,United Kingdom
309855,6086817,2018-07-28T13:59:00.000+07:00,478884,CANDLEHOLDER PINK HANGING HEART,18,4.08,United Kingdom
380478,6024139,2018-06-05T13:02:00.000+07:00,473004,CHILDRENS GARDEN GLOVES BLUE,12,1.73,United Kingdom
326109,6167150,2018-10-01T12:38:00.000+07:00,999411,PINK FAIRY CAKE CHILDRENS APRON,6,2.7,United Kingdom
343560,6264159,2018-12-16T13:22:00.000+07:00,477519,RIBBON REEL CHRISTMAS SOCK BAUBLE,15,2.28,United Kingdom
329868,6306553,2019-01-11T11:54:00.000+07:00,1732164,WOOD BLACK BOARD ANT WHITE FINISH,6,10.98,United Kingdom
351309,6097553,2018-08-04T16:33:00.000+07:00,466053,RED DINER WALL CLOCK,15,11.73,United Kingdom
315441,6022478,2018-06-04T13:24:00.000+07:00,987441,SET/6 BEAD COASTERS GAUZE BAG GOLD,3,1.73,United Kingdom
284256,6352324,2019-02-01T12:52:00.000+07:00,489678,BOX OF 6 MINI VINTAGE CRACKERS,18,3.44,United Kingdom
286587,6375600,2019-02-11T13:00:00.000+07:00,477750,FELTCRAFT PRINCESS LOLA DOLL,24,5.18,United Kingdom
352044,6217277,2018-11-13T17:46:00.000+07:00,459879,GARAGE KEY FOB,6,0.9,United Kingdom
316218,6045160,2018-06-22T14:26:00.000+07:00,437745,ZINC HEART LATTICE 2 WALL PLANTER,3,8.77,United Kingdom
371217,6214615,2018-11-12T16:07:00.000+07:00,482181,JAM MAKING SET PRINTED,36,2.01,United Kingdom
