UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
364791,6358242,2019-02-03T14:25:00.000+07:00,486276,SET OF 5 MINI GROCERY MAGNETS,3,2.88,United Kingdom
336420,6359661,2019-02-04T12:18:00.000+07:00,490455,HOT WATER BOTTLE KEEP CALM,12,6.84,United Kingdom
325353,6036129,2018-06-16T12:28:00.000+07:00,452088,DAIRY MAID TRADITIONAL TEAPOT,3,9.6,United Kingdom
353094,6205573,2018-11-04T12:51:00.000+07:00,476532,DOORMAT WELCOME TO OUR HOME,30,9.32,United Kingdom
308448,6018254,2018-06-02T12:49:00.000+07:00,1665741,CHILLI LIGHTS,3,7.94,United Kingdom
343728,6392474,2019-02-18T14:12:00.000+07:00,450555,PAINTED YELLOW WOODEN DAISY,3,1.18,United Kingdom
264873,6021213,2018-06-03T16:42:00.000+07:00,482223,JAM JAR WITH GREEN LID,36,1.18,Germany
277830,6062672,2018-07-08T15:47:00.000+07:00,475902,LUNCH BAG DOLLY GIRL DESIGN,6,2.28,United Kingdom
369642,6345460,2019-01-28T16:58:00.000+07:00,478947,SET OF 6 T-LIGHTS TOADSTOOLS,6,4.08,United Kingdom
315483,5909123,2018-02-16T14:49:00.000+07:00,1772526,CREAM CUPID HEARTS COAT HANGER,3,4.49,United Kingdom
305004,6257658,2018-12-11T13:34:00.000+07:00,453348,RETROSPOT GIANT TUBE MATCHES,18,3.52,United Kingdom
353703,6158724,2018-09-24T12:34:00.000+07:00,1788843,CHARLIE & LOLA WASTEPAPER BIN FLORA,36,1.73,United Kingdom
306495,6283673,2018-12-26T16:26:00.000+07:00,452781,DINOSAUR LUNCH BOX WITH CUTLERY,18,3.52,United Kingdom
364959,6370771,2019-02-09T14:56:00.000+07:00,448980,WOODEN HAPPY BIRTHDAY GARLAND,3,4.08,United Kingdom
279699,5978346,2018-04-23T11:24:00.000+07:00,482160,JAM MAKING SET WITH JARS,18,5.87,United Kingdom
267708,5927196,2018-02-25T14:09:00.000+07:00,481761,CHRISTMAS LIGHTS 10 REINDEER,3,11.73,United Kingdom
341355,6180614,2018-10-12T13:02:00.000+07:00,485016,PETIT TRAY CHIC,15,2.28,United Kingdom
326655,6147966,2018-09-15T17:35:00.000+07:00,473571,PLASTERS IN TIN SPACEBOY,15,2.28,United Kingdom
306726,6122336,2018-08-25T14:55:00.000+07:00,464793,PINK LOVE HEART SHAPE CUP,3,1.18,United Kingdom
370608,6272805,2018-12-22T10:41:00.000+07:00,488145,SET OF 3 REGENCY CAKE TINS,12,6.84,United Kingdom
341040,6342490,2019-01-27T15:30:00.000+07:00,465927,GREEN CHRISTMAS TREE CARD HOLDER,36,2.7,United Kingdom
369894,6282155,2018-12-25T17:01:00.000+07:00,487053,BUFFALO BILL TREASURE BOOK BOX,3,3.11,United Kingdom
372435,6050165,2018-06-26T11:54:00.000+07:00,460047,I'M ON HOLIDAY METAL SIGN,36,2.9,United Kingdom
364917,6317740,2019-01-16T11:08:00.000+07:00,1786029,TRADITIONAL CHRISTMAS RIBBONS,6,1.73,United Kingdom
326487,6238837,2018-11-30T13:21:00.000+07:00,466179,FRYING PAN RED RETROSPOT,3,5.87,United Kingdom
333312,6366591,2019-02-06T12:54:00.000+07:00,477267,ALARM CLOCK BAKELIKE RED,3,5.18,United Kingdom
267708,6345504,2019-01-28T17:06:00.000+07:00,472500,SET OF 2 TINS JARDIN DE PROVENCE,3,6.84,United Kingdom
354984,6024161,2018-06-05T13:11:00.000+07:00,467103,5 HOOK HANGER RED MAGIC TOADSTOOL,3,2.28,United Kingdom
333018,5992745,2018-05-07T14:21:00.000+07:00,444759,NO JUNK MAIL METAL SIGN,18,1.73,United Kingdom
298011,6241092,2018-12-02T10:24:00.000+07:00,1787079,JUMBO BAG STRAWBERRY,30,2.88,United Kingdom
322665,6219961,2018-11-16T16:37:00.000+07:00,474957,BAKING SET SPACEBOY DESIGN,9,6.84,United Kingdom
354732,6395334,2019-02-19T14:15:00.000+07:00,456393,RED HANGING HEART T-LIGHT HOLDER,12,4.08,United Kingdom
269682,5975167,2018-04-18T13:36:00.000+07:00,481320,HERB MARKER BASIL,36,0.9,United Kingdom
335538,6249111,2018-12-05T16:21:00.000+07:00,490203,JUMBO BAG VINTAGE CHRISTMAS,30,2.88,United Kingdom
312606,6034061,2018-06-13T09:56:00.000+07:00,468027,"DECORATION , WOBBLY CHICKEN, METAL",36,2.28,United Kingdom
377034,5987223,2018-05-01T13:42:00.000+07:00,475986,RECIPE BOX PANTRY YELLOW DESIGN,3,4.08,United Kingdom
379449,5953882,2018-03-30T16:50:00.000+07:00,477792,SET 7 BABUSHKA NESTING BOXES,6,11.73,United Kingdom
334026,6069976,2018-07-16T12:50:00.000+07:00,450870,FLOWER VINE RAFFIA FOOD COVER,3,5.18,United Kingdom
305802,6186939,2018-10-16T21:01:00.000+07:00,476175,FRENCH KITCHEN SIGN BLUE METAL,6,1.73,United Kingdom
351414,6288491,2018-12-30T14:44:00.000+07:00,464919,RETROSPOT TEA SET CERAMIC 11 PC,9,6.84,United Kingdom
307041,6110984,2018-08-17T14:05:00.000+07:00,487179,JUMBO BAG APPLES,30,2.88,United Kingdom
346017,6008728,2018-05-22T14:46:00.000+07:00,479955,FINE WICKER HEART,36,1.73,United Kingdom
268359,5906681,2018-02-14T14:40:00.000+07:00,482349,HOMEMADE JAM SCENTED CANDLES,36,2.01,Poland
315714,6059185,2018-07-03T11:52:00.000+07:00,463764,PAPER CHAIN KIT EMPIRE,60,4.08,United Kingdom
310716,5989236,2018-05-05T10:58:00.000+07:00,445452,PACK OF 72 RETROSPOT CAKE CASES,6,0.76,United Kingdom
278523,6158757,2018-09-24T12:44:00.000+07:00,470022,LUNCH BAG SPACEBOY DESIGN,6,2.28,United Kingdom
310800,5922037,2018-02-23T11:48:00.000+07:00,437451,GOLD PHOTO FRAME,18,2.9,United Kingdom
351855,6199105,2018-10-29T14:21:00.000+07:00,465318,3 HEARTS HANGING DECORATION RUSTIC,3,4.08,United Kingdom
342846,5945676,2018-03-23T13:01:00.000+07:00,466851,JIGSAW TREE WITH BIRDHOUSE,3,2.01,United Kingdom
368088,6293419,2019-01-02T10:25:00.000+07:00,472101,BLACK TEA TOWEL CLASSIC DESIGN,36,1.73,United Kingdom
376320,6387392,2019-02-16T15:29:00.000+07:00,469455,CHARLOTTE BAG SUKI DESIGN,3,1.18,United Kingdom
331779,6249848,2018-12-07T13:46:00.000+07:00,489741,SMALL WHITE HEART OF WICKER,3,2.28,United Kingdom
351162,5916350,2018-02-19T16:38:00.000+07:00,212625,MINI FUNKY DESIGN TAPES,60,1.18,United Kingdom
313131,6395763,2019-02-19T16:54:00.000+07:00,482160,JAM MAKING SET WITH JARS,18,5.87,EIRE
